dtidx,id,px
4750,sec_8,966.3
4751,sec_8,1005.75
4752,sec_8,952.77
4753,sec_8,904.88
4754,sec_8,930.99
4755,sec_8,919.21
4756,sec_8,898.95
4757,sec_8,852.3
4758,sec_8,911.29
4759,sec_8,873.29
4760,sec_8,850.75
4761,sec_8,859.12
4762,sec_8,806.58
4763,sec_8,752.44
4764,sec_8,800.03
4765,sec_8,851.81
4766,sec_8,857.39
4767,sec_8,887.68
4768,sec_8,896.24
4769,sec_8,816.21
4770,sec_8,848.81
4771,sec_8,870.74
4772,sec_8,845.22
4773,sec_8,876.07
4774,sec_8,909.7
4775,sec_8,888.67
4776,sec_8,899.24
4777,sec_8,873.59
4778,sec_8,879.73
4779,sec_8,868.57
4780,sec_8,913.18
4781,sec_8,904.42
4782,sec_8,885.28
4783,sec_8,887.88
4784,sec_8,871.63
4785,sec_8,863.16
4786,sec_8,868.15
4787,sec_8,872.8
4788,sec_8,869.42
4789,sec_8,890.64
4790,sec_8,903.25
4791,sec_8,931.8
4792,sec_8,927.45
4793,sec_8,934.7
4794,sec_8,906.65
4795,sec_8,909.73
4796,sec_8,890.35
4797,sec_8,870.26
4798,sec_8,871.79
4799,sec_8,842.62
4800,sec_8,843.74
4801,sec_8,850.12
4802,sec_8,805.22
4803,sec_8,840.24
4804,sec_8,827.5
4805,sec_8,831.95
4806,sec_8,836.57
4807,sec_8,845.71
4808,sec_8,874.09
4809,sec_8,845.14
4810,sec_8,825.88
4811,sec_8,825.44
4812,sec_8,838.51
4813,sec_8,832.23
4814,sec_8,845.85
4815,sec_8,868.6
4816,sec_8,869.89
4817,sec_8,827.16
4818,sec_8,833.74
4819,sec_8,835.19
4820,sec_8,826.84
4821,sec_8,789.17
4822,sec_8,788.42
4823,sec_8,778.94
4824,sec_8,770.05
4825,sec_8,743.33
4826,sec_8,773.14
4827,sec_8,764.9
4828,sec_8,752.83
4829,sec_8,735.09
4830,sec_8,700.82
4831,sec_8,696.33
4832,sec_8,712.87
4833,sec_8,682.55
4834,sec_8,683.38
4835,sec_8,676.53
4836,sec_8,719.6
4837,sec_8,721.36
4838,sec_8,750.74
4839,sec_8,756.55
