DATE,VALUE
1973-01-02,6.7114
1973-01-03,6.7114
1973-01-04,6.6890
1973-01-05,6.7114
1973-01-08,6.7114
1973-01-09,6.6890
1973-01-10,6.7114
1973-01-11,6.7114
1973-01-12,6.7114
1973-01-15,6.7114
1973-01-16,6.7114
1973-01-17,6.7114
1973-01-18,6.7114
1973-01-19,6.7114
1973-01-22,6.7114
1973-01-23,6.7114
1973-01-24,6.7114
1973-01-25,6.7114
1973-01-26,6.7114
1973-01-29,6.7114
1973-01-30,6.7114
1973-01-31,6.7114
1973-02-01,6.7114
1973-02-02,6.7114
1973-02-05,6.6934
1973-02-06,6.7114
1973-02-07,6.7114
1973-02-08,6.7114
1973-02-09,6.7114
1973-02-12,.
1973-02-13,.
1973-02-14,.
1973-02-15,6.3331
1973-02-16,6.3291
1973-02-19,.
1973-02-20,6.3291
1973-02-21,6.3331
1973-02-22,6.3331
1973-02-23,6.3291
1973-02-26,6.3291
1973-02-27,6.3291
1973-02-28,6.3291
1973-03-01,6.3291
1973-03-02,.
1973-03-05,.
1973-03-06,6.2500
1973-03-07,6.3694
1973-03-08,6.2500
1973-03-09,6.2893
1973-03-12,6.2893
1973-03-13,6.3291
1973-03-14,6.3291
1973-03-15,6.3291
1973-03-16,6.3291
1973-03-19,6.3898
1973-03-20,6.3694
1973-03-21,6.3694
1973-03-22,6.3898
1973-03-23,6.3898
1973-03-26,6.3898
1973-03-27,6.3532
1973-03-28,6.3492
1973-03-29,6.3492
1973-03-30,6.3532
1973-04-02,6.3532
1973-04-03,6.3694
1973-04-04,6.3694
1973-04-05,6.3694
1973-04-06,6.3532
1973-04-09,6.3694
1973-04-10,6.3694
1973-04-11,6.3211
1973-04-12,6.3291
1973-04-13,6.3291
1973-04-16,6.3291
1973-04-17,6.3211
1973-04-18,6.3291
1973-04-19,6.3291
1973-04-20,6.3291
1973-04-23,6.3291
1973-04-24,6.3291
1973-04-25,6.3291
1973-04-26,6.3291
1973-04-27,6.3291
1973-04-30,6.2893
1973-05-01,6.3091
1973-05-02,6.3211
1973-05-03,6.3091
1973-05-04,6.3091
1973-05-07,6.3091
1973-05-08,6.3091
1973-05-09,6.3091
1973-05-10,6.3091
1973-05-11,6.2893
1973-05-14,6.2500
1973-05-15,6.2500
1973-05-16,6.2893
1973-05-17,6.3091
1973-05-18,6.3091
1973-05-21,6.2893
1973-05-22,6.3091
1973-05-23,6.2893
1973-05-24,6.2893
1973-05-25,6.2893
1973-05-28,.
1973-05-29,6.2893
1973-05-30,6.2696
1973-05-31,6.2893
1973-06-01,6.0976
1973-06-04,6.0606
1973-06-05,6.0241
1973-06-06,6.0976
1973-06-07,6.0241
1973-06-08,6.0241
1973-06-11,6.0241
1973-06-12,6.0241
1973-06-13,6.0423
1973-06-14,6.0423
1973-06-15,6.0060
1973-06-18,6.0606
1973-06-19,6.0606
1973-06-20,6.0606
1973-06-21,6.0606
1973-06-22,6.0423
1973-06-25,6.0423
1973-06-26,6.0241
1973-06-27,6.0423
1973-06-28,6.0606
1973-06-29,6.0606
1973-07-02,6.0606
1973-07-03,6.0241
1973-07-04,.
1973-07-05,6.0241
1973-07-06,6.0606
1973-07-09,6.0606
1973-07-10,6.0606
1973-07-11,6.0606
1973-07-12,6.0423
1973-07-13,6.0423
1973-07-16,6.0606
1973-07-17,6.0606
1973-07-18,6.0606
1973-07-19,6.0423
1973-07-20,6.0606
1973-07-23,6.0606
1973-07-24,6.0606
1973-07-25,6.0606
1973-07-26,6.0606
1973-07-27,6.2893
1973-07-30,6.2893
1973-07-31,6.2893
1973-08-01,6.2893
1973-08-02,6.2500
1973-08-03,6.2500
1973-08-06,6.2305
1973-08-07,6.2305
1973-08-08,6.2305
1973-08-09,6.2305
1973-08-10,6.2305
1973-08-13,6.2500
1973-08-14,6.2500
1973-08-15,6.2305
1973-08-16,6.2500
1973-08-17,6.3091
1973-08-20,6.3091
1973-08-21,6.2893
1973-08-22,6.3091
1973-08-23,6.3091
1973-08-24,6.3091
1973-08-27,6.2893
1973-08-28,6.2893
1973-08-29,6.2893
1973-08-30,6.2893
1973-08-31,6.3091
1973-09-03,.
1973-09-04,6.3091
1973-09-05,6.2696
1973-09-06,6.2893
1973-09-07,6.2893
1973-09-10,6.3091
1973-09-11,6.3091
1973-09-12,6.3291
1973-09-13,6.3291
1973-09-14,6.3291
1973-09-17,6.3291
1973-09-18,6.3091
1973-09-19,6.2893
1973-09-20,6.2893
1973-09-21,6.3091
1973-09-24,6.3291
1973-09-25,6.4725
1973-09-26,6.4725
1973-09-27,6.4725
1973-09-28,6.4725
1973-10-01,6.4725
1973-10-02,6.4725
1973-10-03,6.4725
1973-10-04,6.4725
1973-10-05,6.4725
1973-10-08,.
1973-10-09,6.4516
1973-10-10,6.4516
1973-10-11,6.4516
1973-10-12,6.4516
1973-10-15,6.4725
1973-10-16,6.4103
1973-10-17,6.4725
1973-10-18,6.4725
1973-10-19,6.4725
1973-10-22,.
1973-10-23,6.4725
1973-10-24,6.4725
1973-10-25,6.4725
1973-10-26,6.4725
1973-10-29,6.4309
1973-10-30,6.4309
1973-10-31,6.4309
1973-11-01,6.4309
1973-11-02,6.4309
1973-11-05,6.4599
1973-11-06,.
1973-11-07,6.4516
1973-11-08,6.4516
1973-11-09,6.5062
1973-11-12,6.3492
1973-11-13,6.3492
1973-11-14,6.3492
1973-11-15,6.3492
1973-11-16,6.5574
1973-11-19,6.5574
1973-11-20,6.5147
1973-11-21,6.5147
1973-11-22,.
1973-11-23,6.4935
1973-11-26,6.4516
1973-11-27,6.4516
1973-11-28,6.4516
1973-11-29,6.4516
1973-11-30,6.4516
1973-12-03,6.6313
1973-12-04,6.6313
1973-12-05,6.6313
