DATE,VALUE
1995-01-02,0.1700
1995-01-03,0.1700
1995-01-04,0.1700
1995-01-05,0.1700
1995-01-06,0.1700
1995-01-09,0.1700
1995-01-10,0.1700
1995-01-11,0.1700
1995-01-12,0.1700
1995-01-13,0.1700
1995-01-16,0.1700
1995-01-17,0.1700
1995-01-18,0.1700
1995-01-19,0.1700
1995-01-20,0.1700
1995-01-23,0.1700
1995-01-24,0.1700
1995-01-25,0.1700
1995-01-26,0.1700
1995-01-27,0.1700
1995-01-30,0.1700
1995-01-31,0.1700
1995-02-01,0.1700
1995-02-02,0.1700
1995-02-03,0.1700
1995-02-06,0.1700
1995-02-07,0.1700
1995-02-08,0.1700
1995-02-09,0.1700
1995-02-10,0.1700
1995-02-13,0.1700
1995-02-14,0.1700
1995-02-15,0.1700
1995-02-16,0.1700
1995-02-17,0.1700
1995-02-20,0.1700
1995-02-21,0.1700
1995-02-22,0.1702
1995-02-23,0.1702
1995-02-24,0.1702
1995-02-27,0.1702
1995-02-28,0.1702
1995-03-01,0.1702
1995-03-02,0.1702
1995-03-03,0.1702
1995-03-06,0.1702
1995-03-07,0.1702
1995-03-08,0.1702
1995-03-09,0.1702
1995-03-10,0.1700
1995-03-13,0.1702
1995-03-14,0.1702
1995-03-15,0.1702
1995-03-16,0.1702
1995-03-17,0.1700
1995-03-20,0.1700
1995-03-21,0.1700
1995-03-22,0.1700
1995-03-23,0.1700
1995-03-24,0.1700
1995-03-27,0.1700
1995-03-28,0.1700
1995-03-29,0.1700
1995-03-30,0.1702
1995-03-31,0.1702
1995-04-03,0.1700
1995-04-04,0.1700
1995-04-05,0.1700
1995-04-06,0.1700
1995-04-07,0.1700
1995-04-10,0.1700
1995-04-11,0.1700
1995-04-12,0.1700
1995-04-13,0.1700
1995-04-14,0.1700
1995-04-17,0.1700
1995-04-18,0.1700
1995-04-19,0.1700
1995-04-20,0.1700
1995-04-21,0.1700
1995-04-24,0.1700
1995-04-25,0.1700
1995-04-26,0.1700
1995-04-27,0.1700
1995-04-28,0.1700
1995-05-01,0.1700
1995-05-02,0.1700
1995-05-03,0.1700
1995-05-04,0.1700
